label,word,position,near_word_1_axes,near_word_1_word,near_word_1_dist,near_word_2_axes,near_word_2_word,near_word_2_dist,near_word_3_axes,near_word_3_word,near_word_3_dist,near_word_4_axes,near_word_4_word,near_word_4_dist,near_word_5_axes,near_word_5_word,near_word_5_dist,page_size,page_number
irrelevant,INVOICE,"(70.01001739501953, 216.75234985351562, 278.6026306152344, 270.9136047363281)","(163.22996520996094, 299.69671630859375, 215.9190216064453, 313.10296630859375)",46166714,145.87290243735055,"(163.22996520996094, 327.2967224121094, 212.58595275878906, 340.7029724121094)",Galloway,173.60522621966376,"(118.805908203125, 299.69671630859375, 139.2685089111328, 313.10296630859375)",No:,174.51288372873674,"(72.739990234375, 299.69671630859375, 116.1019058227539, 313.10296630859375)",Invoice,187.2795997066812,"(215.9195556640625, 327.2967224121094, 249.27178955078125, 340.7029724121094)",Group,198.09216476274895,"(595.0, 842.0)",0
relevant,Jordan-,"(438.7900695800781, 118.9286880493164, 502.2459716796875, 137.42930603027344)","(438.7900695800781, 137.88868713378906, 503.14312744140625, 156.38931274414062)",Wallace,26.82849806332583,"(439.937255859375, 169.869384765625, 472.7021179199219, 180.59439086914062)",Weaver,73.02283521219482,"(475.3016662597656, 169.869384765625, 499.6258544921875, 180.59439086914062)",Shoal,76.1455240790024,"(472.6819152832031, 180.90939331054688, 497.5251159667969, 191.6343994140625)","Brian,",89.16694262590357,"(452.6178894042969, 180.90939331054688, 470.069091796875, 191.6343994140625)",Port,89.4782664869454,"(595.0, 842.0)",0
relevant,Wallace,"(438.7900695800781, 137.88868713378906, 503.14312744140625, 156.38931274414062)","(438.7900695800781, 118.9286880493164, 502.2459716796875, 137.42930603027344)",Jordan-,26.82849806332583,"(439.937255859375, 169.869384765625, 472.7021179199219, 180.59439086914062)",Weaver,50.364887819817284,"(475.3016662597656, 169.869384765625, 499.6258544921875, 180.59439086914062)",Shoal,54.35180520604393,"(472.6819152832031, 180.90939331054688, 497.5251159667969, 191.6343994140625)","Brian,",65.36984436581218,"(452.6178894042969, 180.90939331054688, 470.069091796875, 191.6343994140625)",Port,66.16719526490459,"(595.0, 842.0)",0
relevant,53164,"(410.8838195800781, 169.869384765625, 437.35821533203125, 180.59439086914062)","(439.937255859375, 169.869384765625, 472.7021179199219, 180.59439086914062)",Weaver,45.75252572019894,"(438.86712646484375, 194.34939575195312, 454.7295227050781, 205.07440185546875)",Tel:,47.78461739762426,"(452.6178894042969, 180.90939331054688, 470.069091796875, 191.6343994140625)",Port,55.27655561388509,"(438.7900695800781, 137.88868713378906, 503.14312744140625, 156.38931274414062)",Wallace,81.94549577833405,"(472.6819152832031, 180.90939331054688, 497.5251159667969, 191.6343994140625)","Brian,",87.6517207011377,"(595.0, 842.0)",0
relevant,Weaver,"(439.937255859375, 169.869384765625, 472.7021179199219, 180.59439086914062)","(452.6178894042969, 180.90939331054688, 470.069091796875, 191.6343994140625)",Port,20.285336354350676,"(438.86712646484375, 194.34939575195312, 454.7295227050781, 205.07440185546875)",Tel:,39.02180456436062,"(472.6819152832031, 180.90939331054688, 497.5251159667969, 191.6343994140625)","Brian,",43.95631388278085,"(475.3016662597656, 169.869384765625, 499.6258544921875, 180.59439086914062)",Shoal,44.4469246852919,"(410.8838195800781, 169.869384765625, 437.35821533203125, 180.59439086914062)",53164,45.75252572019894,"(595.0, 842.0)",0
relevant,Shoal,"(475.3016662597656, 169.869384765625, 499.6258544921875, 180.59439086914062)","(472.6819152832031, 180.90939331054688, 497.5251159667969, 191.6343994140625)","Brian,",15.969964773760667,"(500.137939453125, 180.90939331054688, 513.405029296875, 191.6343994140625)",NV,32.41095033745867,"(502.2334899902344, 169.869384765625, 523.9368286132812, 180.59439086914062)",Suite,36.28149104110152,"(452.6178894042969, 180.90939331054688, 470.069091796875, 191.6343994140625)",Port,40.397023786407985,"(439.937255859375, 169.869384765625, 472.7021179199219, 180.59439086914062)",Weaver,44.4469246852919,"(595.0, 842.0)",0
relevant,Suite,"(502.2334899902344, 169.869384765625, 523.9368286132812, 180.59439086914062)","(500.137939453125, 180.90939331054688, 513.405029296875, 191.6343994140625)",NV,18.94924025491604,"(515.9779052734375, 180.90939331054688, 542.4369506835938, 191.6343994140625)",77858,27.837511480689276,"(526.515869140625, 169.869384765625, 542.4226684570312, 180.59439086914062)",719,30.51819476856553,"(475.3016662597656, 169.869384765625, 499.6258544921875, 180.59439086914062)",Shoal,36.28149104110152,"(472.6819152832031, 180.90939331054688, 497.5251159667969, 191.6343994140625)","Brian,",42.598564646354085,"(595.0, 842.0)",0
relevant,719,"(526.515869140625, 169.869384765625, 542.4226684570312, 180.59439086914062)","(515.9779052734375, 180.90939331054688, 542.4369506835938, 191.6343994140625)",77858,18.836466329756252,"(502.2334899902344, 169.869384765625, 523.9368286132812, 180.59439086914062)",Suite,30.51819476856553,"(500.137939453125, 180.90939331054688, 513.405029296875, 191.6343994140625)",NV,42.20879214537681,"(475.3016662597656, 169.869384765625, 499.6258544921875, 180.59439086914062)",Shoal,66.7417550133593,"(472.6819152832031, 180.90939331054688, 497.5251159667969, 191.6343994140625)","Brian,",71.81676952411793,"(595.0, 842.0)",0
relevant,Port,"(452.6178894042969, 180.90939331054688, 470.069091796875, 191.6343994140625)","(439.937255859375, 169.869384765625, 472.7021179199219, 180.59439086914062)",Weaver,20.285336354350676,"(438.86712646484375, 194.34939575195312, 454.7295227050781, 205.07440185546875)",Tel:,28.029505749996012,"(472.6819152832031, 180.90939331054688, 497.5251159667969, 191.6343994140625)","Brian,",34.00585828484195,"(475.3016662597656, 169.869384765625, 499.6258544921875, 180.59439086914062)",Shoal,40.397023786407985,"(410.8838195800781, 169.869384765625, 437.35821533203125, 180.59439086914062)",53164,55.27655561388509,"(595.0, 842.0)",0
relevant,"Brian,","(472.6819152832031, 180.90939331054688, 497.5251159667969, 191.6343994140625)","(475.3016662597656, 169.869384765625, 499.6258544921875, 180.59439086914062)",Shoal,15.969964773760667,"(500.137939453125, 180.90939331054688, 513.405029296875, 191.6343994140625)",NV,31.71758046557346,"(452.6178894042969, 180.90939331054688, 470.069091796875, 191.6343994140625)",Port,34.00585828484195,"(502.2334899902344, 169.869384765625, 523.9368286132812, 180.59439086914062)",Suite,42.598564646354085,"(439.937255859375, 169.869384765625, 472.7021179199219, 180.59439086914062)",Weaver,43.95631388278085,"(595.0, 842.0)",0
