label,word,coordinates
irrelevant,abn,"(156.3800048828125, 42.692962646484375, 176.7711639404297, 56.37800216674805)"
relevant,50664532403,"(179.4499969482422, 42.692962646484375, 240.49490356445312, 56.37800216674805)"
relevant,gatessmith,"(156.3800048828125, 54.812957763671875, 211.86776733398438, 68.49800109863281)"
relevant,pty,"(214.70635986328125, 54.812957763671875, 229.0587158203125, 68.49800109863281)"
relevant,ltd,"(231.867431640625, 54.812957763671875, 245.78155517578125, 68.49800109863281)"
relevant,8398,"(156.3800048828125, 67.17300415039062, 178.49122619628906, 80.85804748535156)"
relevant,johnson,"(181.32981872558594, 67.17300415039062, 219.09815979003906, 80.85804748535156)"
relevant,extensions,"(221.86703491210938, 67.17300415039062, 270.71087646484375, 80.85804748535156)"
relevant,suite,"(273.6092529296875, 67.17300415039062, 296.3080749511719, 80.85804748535156)"
relevant,263,"(156.3800048828125, 79.19296264648438, 175.7223358154297, 92.87800598144531)"
relevant,new,"(178.56092834472656, 79.19296264648438, 198.48092651367188, 92.87800598144531)"
relevant,samanthahaven,"(201.34939575195312, 79.19296264648438, 276.7864990234375, 92.87800598144531)"
relevant,ct,"(279.6549987792969, 79.19296264648438, 292.93170166015625, 92.87800598144531)"
relevant,71455,"(156.3800048828125, 91.07296752929688, 184.0987091064453, 104.75801086425781)"
irrelevant,wwwflexicarcomau,"(156.3800048828125, 115.24275970458984, 246.1395263671875, 128.72860717773438)"
irrelevant,1300,"(156.3800048828125, 127.12276458740234, 178.49122619628906, 140.60861206054688)"
irrelevant,36,"(181.32981872558594, 127.12276458740234, 192.4053497314453, 140.60861206054688)"
irrelevant,37,"(195.23397827148438, 127.12276458740234, 206.30950927734375, 140.60861206054688)"
irrelevant,80,"(209.1381378173828, 127.12276458740234, 220.2136688232422, 140.60861206054688)"
irrelevant,tax,"(325.989990234375, 38.24280548095703, 353.34539794921875, 60.2197265625)"
irrelevant,invoice,"(356.7099914550781, 38.24280548095703, 411.1973876953125, 60.2197265625)"
irrelevant,invoice,"(42.47999954223633, 176.38995361328125, 73.4939956665039, 188.782958984375)"
